track,frame,x,y,class,width,height
1,6,621,275,car,155,87
2,6,214,360,car,196,114
3,6,153,212,car,299,165
4,6,941,194,car,94,46
5,6,484,78,car,61,27
6,6,575,139,car,93,49
7,6,547,402,car,232,167
1,7,648,266,car,148,82
2,7,214,360,car,197,114
3,7,145,200,car,338,187
4,7,949,193,car,92,45
5,7,484,78,car,61,27
6,7,561,142,car,96,50
7,7,600,382,car,223,158
1,8,687,252,car,131,72
2,8,214,361,car,199,115
3,8,130,196,car,375,208
4,8,964,189,car,89,44
5,8,484,78,car,61,27
6,8,539,145,car,99,51
7,8,664,353,car,204,142
1,9,710,243,car,121,67
2,9,215,359,car,192,111
4,9,974,187,car,84,43
5,9,484,78,car,61,27
6,9,523,148,car,104,54
7,9,705,335,car,194,134
9,9,604,118,car,75,36
1,10,741,235,car,110,60
2,10,216,356,car,184,106
4,10,986,185,car,79,41
5,10,483,80,car,62,27
6,10,499,151,car,109,56
7,10,756,314,car,173,117
9,10,593,119,car,78,38
1,11,763,229,car,107,57
2,11,188,403,car,336,198
4,11,993,185,car,76,39
5,11,484,80,car,63,27
6,11,482,154,car,111,57
7,11,787,302,car,162,108
9,11,582,121,car,80,39
10,11,807,122,car,78,35
1,12,791,223,car,102,55
2,12,213,416,car,330,197
4,12,1002,184,car,75,40
5,12,483,80,car,63,28
6,12,457,158,car,121,62
7,12,828,284,car,151,99
9,12,570,122,car,83,40
10,12,797,122,car,79,35
1,13,810,220,car,93,49
2,13,211,423,car,350,209
4,13,1007,183,car,72,39
5,13,483,80,car,63,28
6,13,438,162,car,126,65
7,13,854,277,car,143,94
9,13,561,123,car,85,41
10,13,790,121,car,81,36
12,13,265,398,car,175,198
1,14,833,214,car,101,53
4,14,1017,182,car,70,37
5,14,483,81,car,63,28
6,14,411,169,car,130,67
7,14,883,266,car,129,83
9,14,547,125,car,84,41
10,14,778,122,car,77,34
12,14,330,379,car,157,169
1,15,850,212,car,97,51
5,15,483,81,car,63,28
6,15,391,173,car,133,69
7,15,902,258,car,123,79
9,15,538,127,car,86,42
10,15,770,122,car,77,34
12,15,378,362,car,149,151
1,16,872,208,car,94,50
5,16,484,81,car,64,28
6,16,362,179,car,137,72
7,16,928,250,car,110,70
9,16,524,129,car,90,44
12,16,439,338,car,146,141
1,17,885,205,car,93,49
